User ID,Gender,Age,Score in percentage
HDEJ,F,19,98.4375
VGAT,F,21,90.625
JPJP,F,19,1.5625
lqeg,F,20,95.3125
NAAS,F,22,82.8125
FZHF,M,19,92.1875
CTCT,F,21,96.875
aady,F,20,96.875
MCHC,M,19,95.3125
RHJM,M,20,82.8125
RSWS,M,19,92.1875
mrmr,M,20,89.0625
MGRG,M,20,89.0625
MGRG,M,20,1.5625
AFHY,F,19,89.0625
AFHY,F,19,0
QAMF,M,19,73.4375
OCCl,M,19,95.3125
YCBH,F,20,84.375
YKJL,F,21,95.3125
YCBH,F,20,89.0625
QQQQ,F,20,95.3125
XJFB,F,20,96.875
CGCB,F,20,79.6875
CKSB,F,19,93.75
SHUO,F,19,89.0625
nsbk,M,19,92.1875
YLYT,F,21,95.3125
OLNJ,M,21,87.5
Juanos,M,19,92.1875
